[2024-06-21T07:09:45.763+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-21T07:09:45.793+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [queued]>
[2024-06-21T07:09:45.805+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [queued]>
[2024-06-21T07:09:45.805+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-21T07:09:45.830+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): get_all_dag_ids_last_limit_run_ids> on 2024-06-21 06:45:00+00:00
[2024-06-21T07:09:45.835+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2460) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-21T07:09:45.836+0000] {standard_task_runner.py:63} INFO - Started process 2462 to run task
[2024-06-21T07:09:45.836+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'alerting_all_dags_using_apis', 'get_all_dag_ids_last_limit_run_ids', 'scheduled__2024-06-21T06:45:00+00:00', '--job-id', '2868', '--raw', '--subdir', 'DAGS_FOLDER/alerting_all_dags_using_apis.py', '--cfg-path', '/tmp/tmp69kui_bm']
[2024-06-21T07:09:45.838+0000] {standard_task_runner.py:91} INFO - Job 2868: Subtask get_all_dag_ids_last_limit_run_ids
[2024-06-21T07:09:45.900+0000] {task_command.py:426} INFO - Running <TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids scheduled__2024-06-21T06:45:00+00:00 [running]> on host e66744caf823
[2024-06-21T07:09:46.061+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='alerting_all_dags_using_apis' AIRFLOW_CTX_TASK_ID='get_all_dag_ids_last_limit_run_ids' AIRFLOW_CTX_EXECUTION_DATE='2024-06-21T06:45:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-06-21T06:45:00+00:00'
[2024-06-21T07:09:46.062+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-21T07:09:49.015+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.198+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.381+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.558+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.732+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:49.910+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.085+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/u/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.286+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.475+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.654+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.835+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.082+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.264+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.477+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/p/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.698+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.880+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.062+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.247+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/,/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.428+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/ /dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.605+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.782+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/c/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.982+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.170+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.348+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.528+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.707+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.882+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.075+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.255+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.438+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/b/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.628+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.812+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.992+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.199+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/,/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.401+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/ /dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.580+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.761+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.943+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.123+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/m/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.305+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.484+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.665+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.847+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.026+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.220+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.398+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.575+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.789+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.985+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.234+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.476+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.652+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.848+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.031+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.341+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.548+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.728+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.907+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.085+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.270+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/p/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.452+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.639+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.832+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:01.013+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:01.197+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:01.399+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:01.672+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.021+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.234+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.463+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/,/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.693+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/ /dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.966+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:03.273+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:03.514+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:03.795+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/m/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.048+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.253+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.469+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.655+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.867+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.066+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.311+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.493+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.681+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.895+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.123+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.321+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.500+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.699+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.893+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.084+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.274+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.462+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.653+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.848+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.035+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.229+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.441+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.628+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.839+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.075+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/1/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.330+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.547+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/,/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.768+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/ /dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.944+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.125+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.321+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.512+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.708+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.898+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.080+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/j/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.263+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.440+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.621+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.801+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.993+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.227+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.409+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.595+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.786+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/p/dagRuns?limit=3&order_by=-start_date
