[2024-06-21T07:09:47.731+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-21T07:09:47.754+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [queued]>
[2024-06-21T07:09:47.763+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [queued]>
[2024-06-21T07:09:47.763+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 6
[2024-06-21T07:09:47.777+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): get_all_dag_ids_last_limit_run_ids> on 2024-06-21 07:09:44.673933+00:00
[2024-06-21T07:09:47.781+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=2464) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-21T07:09:47.782+0000] {standard_task_runner.py:63} INFO - Started process 2465 to run task
[2024-06-21T07:09:47.783+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'alerting_all_dags_using_apis', 'get_all_dag_ids_last_limit_run_ids', 'manual__2024-06-21T07:09:44.673933+00:00', '--job-id', '2870', '--raw', '--subdir', 'DAGS_FOLDER/alerting_all_dags_using_apis.py', '--cfg-path', '/tmp/tmpv6dhkxn4']
[2024-06-21T07:09:47.784+0000] {standard_task_runner.py:91} INFO - Job 2870: Subtask get_all_dag_ids_last_limit_run_ids
[2024-06-21T07:09:47.824+0000] {task_command.py:426} INFO - Running <TaskInstance: alerting_all_dags_using_apis.get_all_dag_ids_last_limit_run_ids manual__2024-06-21T07:09:44.673933+00:00 [running]> on host e66744caf823
[2024-06-21T07:09:47.927+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='alerting_all_dags_using_apis' AIRFLOW_CTX_TASK_ID='get_all_dag_ids_last_limit_run_ids' AIRFLOW_CTX_EXECUTION_DATE='2024-06-21T07:09:44.673933+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-21T07:09:44.673933+00:00'
[2024-06-21T07:09:47.928+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-21T07:09:50.714+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:50.901+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.148+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.359+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.562+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.744+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/u/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:51.931+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.132+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.347+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.524+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.699+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:52.876+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.070+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/p/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.255+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.434+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.616+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.796+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/,/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:53.990+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/ /dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.168+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.349+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/c/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.531+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.721+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:54.901+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.095+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.291+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.492+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.673+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:55.849+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.037+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/b/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.232+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.417+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.597+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.774+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/,/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:56.952+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/ /dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.151+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.330+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.510+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.731+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/m/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:57.914+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.126+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.360+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.554+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.752+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:58.930+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.114+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.307+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.508+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.701+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:09:59.887+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.071+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.252+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.431+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.613+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.819+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:00.998+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:01.196+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:01.404+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:01.664+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.014+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/p/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.234+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.437+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.664+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:02.892+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:03.183+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:03.413+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:03.729+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:03.976+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.212+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.416+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/,/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.607+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/ /dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:04.793+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.016+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.239+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.427+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/m/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.619+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:05.817+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.045+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/d/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.321+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.502+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.699+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:06.886+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.080+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.272+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.462+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.653+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:07.847+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.034+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.229+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/r/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.463+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.655+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:08.875+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.119+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/g/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.329+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.540+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.767+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:09.943+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.124+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/a/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.318+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.496+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.679+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/1/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:10.859+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.041+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/,/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.230+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/ /dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.410+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/'/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.593+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/f/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.781+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/i/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:11.962+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/l/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.200+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/e/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.389+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.582+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/j/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.792+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:12.992+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.200+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/n/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.397+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/s/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.624+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:13.852+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/t/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:14.093+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/o/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:14.288+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/_/dagRuns?limit=3&order_by=-start_date
[2024-06-21T07:10:14.479+0000] {helper_functions.py:182} INFO - Requesting http://***:***@172.240.2.5:8080/api/v1/dags/p/dagRuns?limit=3&order_by=-start_date
